"feature","coefficient"
"Attr1",-1.41364616824191
"Attr2",0.383503334052833
"Attr3",-0.763784732903347
"Attr4",0.00662058741769288
"Attr6",0.201277463545437
"Attr9",0.0241562415595595
"Attr13",-1.72643369572216
"Attr20",0.000744700272902261
"Attr21",-1.70929309149352
"Attr25",-0.161119374413403
"Attr26",-0.106543347337398
"Attr29",-0.238541924028982
"Attr40",0.0275110043240348
"Attr44",-0.00118299998308805
"Attr60",-3.80938760919754e-05
"Attr61",-0.000166165594494735
"Attr1_missing",0.107438225264617
"Attr2_missing",0.116301486993909
"Attr3_missing",0.117514606122761
"Attr4_missing",0.189489716171774
"Attr6_missing",0.122314110746293
"Attr9_missing",-2.17151142732932
"Attr13_missing",0
"Attr20_missing",0
"Attr21_missing",4.85195268264979
"Attr25_missing",0.0996859326110878
"Attr26_missing",0.830930047111241
"Attr29_missing",0.0781414972908862
"Attr40_missing",0.173262544345228
"Attr44_missing",0
"Attr60_missing",0.294558631412035
"Attr61_missing",-0.737696049624048
