"horizon_years","model","development_capacity","threshold","development_review_rate","platt_intercept","platt_slope"
5,"Ridge logistic",0.2,0.05158843083525,0.199928850942725,0.194816060943944,1.06750145035635
5,"Balanced random forest",0.2,0.05951412817125,0.199928850942725,-2.85946446855209,1.06006970576921
4,"Ridge logistic",0.2,0.047284181675,0.19997543299349,-0.112461145726911,0.964572273061977
4,"Balanced random forest",0.2,0.062560410628,0.19997543299349,-2.81639137850339,1.05267462907781
3,"Ridge logistic",0.2,0.05050176146825,0.199904750565544,-0.00727815603759937,0.997883837247318
3,"Balanced random forest",0.2,0.077151058169,0.199904750565544,-2.614499013251,1.08663366442313
2,"Ridge logistic",0.2,0.05037362533125,0.2,0.117072360426295,1.04276548905518
2,"Balanced random forest",0.2,0.07816987822475,0.2,-2.46368642280251,1.25670539961971
1,"Ridge logistic",0.2,0.06646771608875,0.199957680914092,0.172860455648668,1.07363447419159
1,"Balanced random forest",0.2,0.09345273658975,0.199957680914092,-2.18471974475481,1.18780611826514
