"model","threshold","missed_bankruptcy_cost_relative_to_false_positive","illustrative_cost_per_observation","recall","review_rate"
"Ridge logistic",0.42,5,0.24672027084215,0.314984709480122,0.0315277190012696
"Ridge logistic",0.42,10,0.483707151925518,0.314984709480122,0.0315277190012696
"Ridge logistic",0.42,20,0.957680914092256,0.314984709480122,0.0315277190012696
"Ridge logistic",0.43,5,0.246085484553534,0.314984709480122,0.0308929327126534
"Ridge logistic",0.43,10,0.483072365636902,0.314984709480122,0.0308929327126534
"Ridge logistic",0.43,20,0.957046127803639,0.314984709480122,0.0308929327126534
"Ridge logistic",0.44,5,0.249682606855692,0.302752293577982,0.0294117647058824
"Ridge logistic",0.44,10,0.490901396529835,0.302752293577982,0.0294117647058824
"Ridge logistic",0.44,20,0.973338975878121,0.302752293577982,0.0294117647058824
"Ridge logistic",0.45,5,0.25158696572154,0.296636085626911,0.0287769784172662
"Ridge logistic",0.45,10,0.494921709691071,0.296636085626911,0.0287769784172662
"Ridge logistic",0.45,20,0.981591197630131,0.296636085626911,0.0287769784172662
"Ridge logistic",0.46,5,0.251375370292002,0.296636085626911,0.0285653829877275
"Ridge logistic",0.46,10,0.494710114261532,0.296636085626911,0.0285653829877275
"Ridge logistic",0.46,20,0.981379602200593,0.296636085626911,0.0285653829877275
"Ridge logistic",0.47,5,0.250952179432924,0.296636085626911,0.02814219212865
"Ridge logistic",0.47,10,0.494286923402455,0.296636085626911,0.02814219212865
"Ridge logistic",0.47,20,0.980956411341515,0.296636085626911,0.02814219212865
"Ridge logistic",0.48,5,0.250740584003386,0.296636085626911,0.0279305966991113
"Ridge logistic",0.48,10,0.494075327972916,0.296636085626911,0.0279305966991113
"Ridge logistic",0.48,20,0.980744815911976,0.296636085626911,0.0279305966991113
"Ridge logistic",0.49,5,0.252221752010157,0.290519877675841,0.0268726195514177
"Ridge logistic",0.49,10,0.497672450275074,0.290519877675841,0.0268726195514177
"Ridge logistic",0.49,20,0.988573846804909,0.290519877675841,0.0268726195514177
"Ridge logistic",0.5,5,0.251375370292002,0.290519877675841,0.0260262378332628
"Ridge logistic",0.5,10,0.496826068556919,0.290519877675841,0.0260262378332628
"Ridge logistic",0.5,20,0.987727465086754,0.290519877675841,0.0260262378332628
"Balanced random forest",0.01,5,0.612357173085061,0.972477064220184,0.670122725349132
"Balanced random forest",0.01,10,0.621878967414304,0.972477064220184,0.670122725349132
"Balanced random forest",0.01,20,0.640922556072789,0.972477064220184,0.670122725349132
"Balanced random forest",0.02,5,0.485611510791367,0.935779816513762,0.52814219212865
"Balanced random forest",0.02,10,0.507829030892933,0.935779816513762,0.52814219212865
"Balanced random forest",0.02,20,0.552264071096064,0.935779816513762,0.52814219212865
"Balanced random forest",0.03,5,0.403512484130343,0.91131498470948,0.435886584849767
